date,ACB_unscaled,ACB_monthly,isPartial,scale,ACB
2016-05-01,54,4.0,False,0.04,2.16
2016-05-02,34,4.0,,0.04,1.36
2016-05-03,96,4.0,,0.04,3.84
2016-05-04,68,4.0,,0.04,2.72
2016-05-05,65,4.0,,0.04,2.6
2016-05-06,55,4.0,,0.04,2.2
2016-05-07,49,4.0,,0.04,1.96
2016-05-08,57,4.0,,0.04,2.2800000000000002
2016-05-09,46,4.0,,0.04,1.84
2016-05-10,45,4.0,,0.04,1.8
2016-05-11,64,4.0,,0.04,2.56
2016-05-12,42,4.0,,0.04,1.68
2016-05-13,36,4.0,,0.04,1.44
2016-05-14,57,4.0,,0.04,2.2800000000000002
2016-05-15,22,4.0,,0.04,0.88
2016-05-16,41,4.0,,0.04,1.6400000000000001
2016-05-17,63,4.0,,0.04,2.52
2016-05-18,64,4.0,,0.04,2.56
2016-05-19,59,4.0,,0.04,2.36
2016-05-20,31,4.0,,0.04,1.24
2016-05-21,66,4.0,,0.04,2.64
2016-05-22,35,4.0,,0.04,1.4000000000000001
2016-05-23,65,4.0,,0.04,2.6
2016-05-24,100,4.0,,0.04,4.0
2016-05-25,78,4.0,,0.04,3.12
2016-05-26,73,4.0,,0.04,2.92
2016-05-27,63,4.0,,0.04,2.52
2016-05-28,22,4.0,,0.04,0.88
2016-05-29,38,4.0,,0.04,1.52
2016-05-30,49,4.0,,0.04,1.96
2016-05-31,48,4.0,,0.04,1.92
2016-06-01,65,4.0,False,0.04,2.6
2016-06-02,72,4.0,,0.04,2.88
2016-06-03,97,4.0,,0.04,3.88
2016-06-04,59,4.0,,0.04,2.36
2016-06-05,51,4.0,,0.04,2.04
2016-06-06,65,4.0,,0.04,2.6
2016-06-07,100,4.0,,0.04,4.0
2016-06-08,58,4.0,,0.04,2.32
2016-06-09,96,4.0,,0.04,3.84
2016-06-10,61,4.0,,0.04,2.44
2016-06-11,26,4.0,,0.04,1.04
2016-06-12,95,4.0,,0.04,3.8000000000000003
2016-06-13,72,4.0,,0.04,2.88
2016-06-14,7,4.0,,0.04,0.28
2016-06-15,80,4.0,,0.04,3.2
2016-06-16,59,4.0,,0.04,2.36
2016-06-17,30,4.0,,0.04,1.2
2016-06-18,62,4.0,,0.04,2.48
2016-06-19,27,4.0,,0.04,1.08
2016-06-20,67,4.0,,0.04,2.68
2016-06-21,66,4.0,,0.04,2.64
2016-06-22,81,4.0,,0.04,3.24
2016-06-23,73,4.0,,0.04,2.92
2016-06-24,90,4.0,,0.04,3.6
2016-06-25,71,4.0,,0.04,2.84
2016-06-26,36,4.0,,0.04,1.44
2016-06-27,36,4.0,,0.04,1.44
2016-06-28,95,4.0,,0.04,3.8000000000000003
2016-06-29,45,4.0,,0.04,1.8
2016-06-30,61,4.0,,0.04,2.44
2016-07-01,36,3.0,False,0.03,1.08
2016-07-02,16,3.0,,0.03,0.48
2016-07-03,60,3.0,,0.03,1.7999999999999998
2016-07-04,49,3.0,,0.03,1.47
2016-07-05,80,3.0,,0.03,2.4
2016-07-06,28,3.0,,0.03,0.84
2016-07-07,28,3.0,,0.03,0.84
2016-07-08,0,3.0,,0.03,0.0
2016-07-09,33,3.0,,0.03,0.99
2016-07-10,65,3.0,,0.03,1.95
2016-07-11,84,3.0,,0.03,2.52
2016-07-12,56,3.0,,0.03,1.68
2016-07-13,100,3.0,,0.03,3.0
2016-07-14,34,3.0,,0.03,1.02
2016-07-15,29,3.0,,0.03,0.87
2016-07-16,16,3.0,,0.03,0.48
2016-07-17,41,3.0,,0.03,1.23
2016-07-18,56,3.0,,0.03,1.68
2016-07-19,62,3.0,,0.03,1.8599999999999999
2016-07-20,36,3.0,,0.03,1.08
2016-07-21,29,3.0,,0.03,0.87
2016-07-22,87,3.0,,0.03,2.61
2016-07-23,40,3.0,,0.03,1.2
2016-07-24,24,3.0,,0.03,0.72
2016-07-25,62,3.0,,0.03,1.8599999999999999
2016-07-26,76,3.0,,0.03,2.28
2016-07-27,48,3.0,,0.03,1.44
2016-07-28,69,3.0,,0.03,2.07
2016-07-29,28,3.0,,0.03,0.84
2016-07-30,24,3.0,,0.03,0.72
2016-07-31,49,3.0,,0.03,1.47
2016-08-01,65,3.0,False,0.03,1.95
2016-08-02,65,3.0,,0.03,1.95
2016-08-03,59,3.0,,0.03,1.77
2016-08-04,60,3.0,,0.03,1.7999999999999998
2016-08-05,64,3.0,,0.03,1.92
2016-08-06,37,3.0,,0.03,1.1099999999999999
2016-08-07,9,3.0,,0.03,0.27
2016-08-08,52,3.0,,0.03,1.56
2016-08-09,68,3.0,,0.03,2.04
2016-08-10,100,3.0,,0.03,3.0
2016-08-11,64,3.0,,0.03,1.92
2016-08-12,32,3.0,,0.03,0.96
2016-08-13,44,3.0,,0.03,1.3199999999999998
2016-08-14,9,3.0,,0.03,0.27
2016-08-15,31,3.0,,0.03,0.9299999999999999
2016-08-16,31,3.0,,0.03,0.9299999999999999
2016-08-17,86,3.0,,0.03,2.58
2016-08-18,95,3.0,,0.03,2.85
2016-08-19,65,3.0,,0.03,1.95
2016-08-20,37,3.0,,0.03,1.1099999999999999
2016-08-21,18,3.0,,0.03,0.54
2016-08-22,54,3.0,,0.03,1.6199999999999999
2016-08-23,46,3.0,,0.03,1.38
2016-08-24,69,3.0,,0.03,2.07
2016-08-25,65,3.0,,0.03,1.95
2016-08-26,44,3.0,,0.03,1.3199999999999998
2016-08-27,34,3.0,,0.03,1.02
2016-08-28,34,3.0,,0.03,1.02
2016-08-29,28,3.0,,0.03,0.84
2016-08-30,42,3.0,,0.03,1.26
2016-08-31,64,3.0,,0.03,1.92
2016-09-01,54,3.0,False,0.03,1.6199999999999999
2016-09-02,42,3.0,,0.03,1.26
2016-09-03,16,3.0,,0.03,0.48
2016-09-04,34,3.0,,0.03,1.02
2016-09-05,8,3.0,,0.03,0.24
2016-09-06,27,3.0,,0.03,0.8099999999999999
2016-09-07,40,3.0,,0.03,1.2
2016-09-08,60,3.0,,0.03,1.7999999999999998
2016-09-09,35,3.0,,0.03,1.05
2016-09-10,49,3.0,,0.03,1.47
2016-09-11,46,3.0,,0.03,1.38
2016-09-12,46,3.0,,0.03,1.38
2016-09-13,27,3.0,,0.03,0.8099999999999999
2016-09-14,40,3.0,,0.03,1.2
2016-09-15,41,3.0,,0.03,1.23
2016-09-16,62,3.0,,0.03,1.8599999999999999
2016-09-17,40,3.0,,0.03,1.2
2016-09-18,30,3.0,,0.03,0.8999999999999999
2016-09-19,59,3.0,,0.03,1.77
2016-09-20,33,3.0,,0.03,0.99
2016-09-21,100,3.0,,0.03,3.0
2016-09-22,34,3.0,,0.03,1.02
2016-09-23,97,3.0,,0.03,2.9099999999999997
2016-09-24,73,3.0,,0.03,2.19
2016-09-25,24,3.0,,0.03,0.72
2016-09-26,53,3.0,,0.03,1.5899999999999999
2016-09-27,60,3.0,,0.03,1.7999999999999998
2016-09-28,60,3.0,,0.03,1.7999999999999998
2016-09-29,40,3.0,,0.03,1.2
2016-09-30,77,3.0,,0.03,2.31
2016-10-01,28,3.0,False,0.03,0.84
2016-10-02,28,3.0,,0.03,0.84
2016-10-03,23,3.0,,0.03,0.69
2016-10-04,29,3.0,,0.03,0.87
2016-10-05,57,3.0,,0.03,1.71
2016-10-06,58,3.0,,0.03,1.74
2016-10-07,36,3.0,,0.03,1.08
2016-10-08,21,3.0,,0.03,0.63
2016-10-09,14,3.0,,0.03,0.42
2016-10-10,41,3.0,,0.03,1.23
2016-10-11,82,3.0,,0.03,2.46
2016-10-12,30,3.0,,0.03,0.8999999999999999
2016-10-13,41,3.0,,0.03,1.23
2016-10-14,37,3.0,,0.03,1.1099999999999999
2016-10-15,29,3.0,,0.03,0.87
2016-10-16,14,3.0,,0.03,0.42
2016-10-17,46,3.0,,0.03,1.38
2016-10-18,29,3.0,,0.03,0.87
2016-10-19,100,3.0,,0.03,3.0
2016-10-20,35,3.0,,0.03,1.05
2016-10-21,95,3.0,,0.03,2.85
2016-10-22,37,3.0,,0.03,1.1099999999999999
2016-10-23,35,3.0,,0.03,1.05
2016-10-24,57,3.0,,0.03,1.71
2016-10-25,63,3.0,,0.03,1.89
2016-10-26,29,3.0,,0.03,0.87
2016-10-27,29,3.0,,0.03,0.87
2016-10-28,91,3.0,,0.03,2.73
2016-10-29,14,3.0,,0.03,0.42
2016-10-30,21,3.0,,0.03,0.63
2016-10-31,69,3.0,,0.03,2.07
2016-11-01,22,3.0,False,0.03,0.6599999999999999
2016-11-02,56,3.0,,0.03,1.68
2016-11-03,70,3.0,,0.03,2.1
2016-11-04,67,3.0,,0.03,2.01
2016-11-05,18,3.0,,0.03,0.54
2016-11-06,76,3.0,,0.03,2.28
2016-11-07,49,3.0,,0.03,1.47
2016-11-08,61,3.0,,0.03,1.8299999999999998
2016-11-09,68,3.0,,0.03,2.04
2016-11-10,73,3.0,,0.03,2.19
2016-11-11,90,3.0,,0.03,2.6999999999999997
2016-11-12,34,3.0,,0.03,1.02
2016-11-13,34,3.0,,0.03,1.02
