date,AC_unscaled,AC_monthly,isPartial,scale,AC
2016-05-01,54,49.0,False,0.49,26.46
2016-05-02,51,49.0,,0.49,24.99
2016-05-03,54,49.0,,0.49,26.46
2016-05-04,48,49.0,,0.49,23.52
2016-05-05,46,49.0,,0.49,22.54
2016-05-06,50,49.0,,0.49,24.5
2016-05-07,53,49.0,,0.49,25.97
2016-05-08,48,49.0,,0.49,23.52
2016-05-09,52,49.0,,0.49,25.48
2016-05-10,54,49.0,,0.49,26.46
2016-05-11,59,49.0,,0.49,28.91
2016-05-12,58,49.0,,0.49,28.419999999999998
2016-05-13,62,49.0,,0.49,30.38
2016-05-14,58,49.0,,0.49,28.419999999999998
2016-05-15,54,49.0,,0.49,26.46
2016-05-16,50,49.0,,0.49,24.5
2016-05-17,49,49.0,,0.49,24.009999999999998
2016-05-18,51,49.0,,0.49,24.99
2016-05-19,52,49.0,,0.49,25.48
2016-05-20,51,49.0,,0.49,24.99
2016-05-21,58,49.0,,0.49,28.419999999999998
2016-05-22,56,49.0,,0.49,27.439999999999998
2016-05-23,57,49.0,,0.49,27.93
2016-05-24,60,49.0,,0.49,29.4
2016-05-25,74,49.0,,0.49,36.26
2016-05-26,82,49.0,,0.49,40.18
2016-05-27,90,49.0,,0.49,44.1
2016-05-28,100,49.0,,0.49,49.0
2016-05-29,95,49.0,,0.49,46.55
2016-05-30,87,49.0,,0.49,42.63
2016-05-31,84,49.0,,0.49,41.16
2016-06-01,82,69.0,False,0.69,56.58
2016-06-02,73,69.0,,0.69,50.37
2016-06-03,79,69.0,,0.69,54.51
2016-06-04,90,69.0,,0.69,62.099999999999994
2016-06-05,86,69.0,,0.69,59.339999999999996
2016-06-06,80,69.0,,0.69,55.199999999999996
2016-06-07,76,69.0,,0.69,52.44
2016-06-08,69,69.0,,0.69,47.61
2016-06-09,70,69.0,,0.69,48.3
2016-06-10,76,69.0,,0.69,52.44
2016-06-11,86,69.0,,0.69,59.339999999999996
2016-06-12,85,69.0,,0.69,58.65
2016-06-13,77,69.0,,0.69,53.129999999999995
2016-06-14,74,69.0,,0.69,51.059999999999995
2016-06-15,78,69.0,,0.69,53.81999999999999
2016-06-16,82,69.0,,0.69,56.58
2016-06-17,80,69.0,,0.69,55.199999999999996
2016-06-18,91,69.0,,0.69,62.78999999999999
2016-06-19,86,69.0,,0.69,59.339999999999996
2016-06-20,100,69.0,,0.69,69.0
2016-06-21,97,69.0,,0.69,66.92999999999999
2016-06-22,86,69.0,,0.69,59.339999999999996
2016-06-23,81,69.0,,0.69,55.88999999999999
2016-06-24,79,69.0,,0.69,54.51
2016-06-25,84,69.0,,0.69,57.959999999999994
2016-06-26,89,69.0,,0.69,61.41
2016-06-27,87,69.0,,0.69,60.029999999999994
2016-06-28,84,69.0,,0.69,57.959999999999994
2016-06-29,79,69.0,,0.69,54.51
2016-06-30,77,69.0,,0.69,53.129999999999995
2016-07-01,69,73.0,False,0.73,50.37
2016-07-02,71,73.0,,0.73,51.83
2016-07-03,68,73.0,,0.73,49.64
2016-07-04,66,73.0,,0.73,48.18
2016-07-05,72,73.0,,0.73,52.56
2016-07-06,80,73.0,,0.73,58.4
2016-07-07,83,73.0,,0.73,60.589999999999996
2016-07-08,77,73.0,,0.73,56.21
2016-07-09,79,73.0,,0.73,57.67
2016-07-10,72,73.0,,0.73,52.56
2016-07-11,70,73.0,,0.73,51.1
2016-07-12,69,73.0,,0.73,50.37
2016-07-13,72,73.0,,0.73,52.56
2016-07-14,72,73.0,,0.73,52.56
2016-07-15,71,73.0,,0.73,51.83
2016-07-16,78,73.0,,0.73,56.94
2016-07-17,72,73.0,,0.73,52.56
2016-07-18,78,73.0,,0.73,56.94
2016-07-19,72,73.0,,0.73,52.56
2016-07-20,75,73.0,,0.73,54.75
2016-07-21,78,73.0,,0.73,56.94
2016-07-22,84,73.0,,0.73,61.32
2016-07-23,100,73.0,,0.73,73.0
2016-07-24,91,73.0,,0.73,66.42999999999999
2016-07-25,85,73.0,,0.73,62.05
2016-07-26,84,73.0,,0.73,61.32
2016-07-27,80,73.0,,0.73,58.4
2016-07-28,79,73.0,,0.73,57.67
2016-07-29,73,73.0,,0.73,53.29
2016-07-30,77,73.0,,0.73,56.21
2016-07-31,80,73.0,,0.73,58.4
2016-08-01,88,56.0,False,0.56,49.28
2016-08-02,88,56.0,,0.56,49.28
2016-08-03,87,56.0,,0.56,48.720000000000006
2016-08-04,91,56.0,,0.56,50.96000000000001
2016-08-05,87,56.0,,0.56,48.720000000000006
2016-08-06,89,56.0,,0.56,49.84
2016-08-07,81,56.0,,0.56,45.36000000000001
2016-08-08,79,56.0,,0.56,44.24
