date,EA_unscaled,EA_monthly,isPartial,scale,EA
2016-05-01,69,46.0,False,0.46,31.740000000000002
2016-05-02,75,46.0,,0.46,34.5
2016-05-03,80,46.0,,0.46,36.800000000000004
2016-05-04,88,46.0,,0.46,40.480000000000004
2016-05-05,74,46.0,,0.46,34.04
2016-05-06,79,46.0,,0.46,36.34
2016-05-07,88,46.0,,0.46,40.480000000000004
2016-05-08,82,46.0,,0.46,37.72
2016-05-09,83,46.0,,0.46,38.18
2016-05-10,100,46.0,,0.46,46.0
2016-05-11,82,46.0,,0.46,37.72
2016-05-12,87,46.0,,0.46,40.02
2016-05-13,84,46.0,,0.46,38.64
2016-05-14,79,46.0,,0.46,36.34
2016-05-15,78,46.0,,0.46,35.88
2016-05-16,79,46.0,,0.46,36.34
2016-05-17,68,46.0,,0.46,31.28
2016-05-18,74,46.0,,0.46,34.04
2016-05-19,71,46.0,,0.46,32.660000000000004
2016-05-20,60,46.0,,0.46,27.6
2016-05-21,70,46.0,,0.46,32.2
2016-05-22,74,46.0,,0.46,34.04
2016-05-23,70,46.0,,0.46,32.2
2016-05-24,74,46.0,,0.46,34.04
2016-05-25,73,46.0,,0.46,33.58
2016-05-26,64,46.0,,0.46,29.44
2016-05-27,68,46.0,,0.46,31.28
2016-05-28,67,46.0,,0.46,30.82
2016-05-29,78,46.0,,0.46,35.88
2016-05-30,76,46.0,,0.46,34.96
2016-05-31,63,46.0,,0.46,28.98
2016-06-01,22,54.0,False,0.54,11.88
2016-06-02,20,54.0,,0.54,10.8
2016-06-03,21,54.0,,0.54,11.34
2016-06-04,24,54.0,,0.54,12.96
2016-06-05,22,54.0,,0.54,11.88
2016-06-06,20,54.0,,0.54,10.8
2016-06-07,23,54.0,,0.54,12.420000000000002
2016-06-08,21,54.0,,0.54,11.34
2016-06-09,24,54.0,,0.54,12.96
2016-06-10,24,54.0,,0.54,12.96
2016-06-11,25,54.0,,0.54,13.5
2016-06-12,100,54.0,,0.54,54.0
2016-06-13,50,54.0,,0.54,27.0
2016-06-14,33,54.0,,0.54,17.82
2016-06-15,29,54.0,,0.54,15.66
2016-06-16,25,54.0,,0.54,13.5
2016-06-17,27,54.0,,0.54,14.580000000000002
2016-06-18,23,54.0,,0.54,12.420000000000002
2016-06-19,23,54.0,,0.54,12.420000000000002
2016-06-20,22,54.0,,0.54,11.88
2016-06-21,22,54.0,,0.54,11.88
2016-06-22,28,54.0,,0.54,15.120000000000001
2016-06-23,23,54.0,,0.54,12.420000000000002
2016-06-24,22,54.0,,0.54,11.88
2016-06-25,25,54.0,,0.54,13.5
2016-06-26,25,54.0,,0.54,13.5
2016-06-27,25,54.0,,0.54,13.5
2016-06-28,20,54.0,,0.54,10.8
2016-06-29,23,54.0,,0.54,12.420000000000002
2016-06-30,22,54.0,,0.54,11.88
2016-07-01,49,41.0,False,0.41,20.09
2016-07-02,44,41.0,,0.41,18.04
2016-07-03,46,41.0,,0.41,18.86
2016-07-04,43,41.0,,0.41,17.63
2016-07-05,48,41.0,,0.41,19.68
2016-07-06,48,41.0,,0.41,19.68
2016-07-07,42,41.0,,0.41,17.22
2016-07-08,47,41.0,,0.41,19.27
2016-07-09,47,41.0,,0.41,19.27
2016-07-10,54,41.0,,0.41,22.139999999999997
2016-07-11,49,41.0,,0.41,20.09
2016-07-12,50,41.0,,0.41,20.5
2016-07-13,44,41.0,,0.41,18.04
2016-07-14,46,41.0,,0.41,18.86
2016-07-15,43,41.0,,0.41,17.63
2016-07-16,100,41.0,,0.41,41.0
2016-07-17,51,41.0,,0.41,20.91
2016-07-18,42,41.0,,0.41,17.22
2016-07-19,45,41.0,,0.41,18.45
2016-07-20,46,41.0,,0.41,18.86
2016-07-21,48,41.0,,0.41,19.68
2016-07-22,44,41.0,,0.41,18.04
2016-07-23,43,41.0,,0.41,17.63
2016-07-24,44,41.0,,0.41,18.04
2016-07-25,42,41.0,,0.41,17.22
2016-07-26,48,41.0,,0.41,19.68
2016-07-27,43,41.0,,0.41,17.63
2016-07-28,47,41.0,,0.41,19.27
2016-07-29,39,41.0,,0.41,15.989999999999998
2016-07-30,43,41.0,,0.41,17.63
2016-07-31,47,41.0,,0.41,19.27
2016-08-01,17,54.0,False,0.54,9.18
2016-08-02,20,54.0,,0.54,10.8
2016-08-03,21,54.0,,0.54,11.34
2016-08-04,18,54.0,,0.54,9.72
2016-08-05,18,54.0,,0.54,9.72
2016-08-06,17,54.0,,0.54,9.18
2016-08-07,17,54.0,,0.54,9.18
2016-08-08,16,54.0,,0.54,8.64
2016-08-09,15,54.0,,0.54,8.100000000000001
2016-08-10,18,54.0,,0.54,9.72
2016-08-11,15,54.0,,0.54,8.100000000000001
2016-08-12,15,54.0,,0.54,8.100000000000001
2016-08-13,17,54.0,,0.54,9.18
2016-08-14,18,54.0,,0.54,9.72
2016-08-15,19,54.0,,0.54,10.260000000000002
