date,ET_unscaled,ET_monthly,isPartial,scale,ET
2016-05-01,84,79.0,False,0.79,66.36
2016-05-02,100,79.0,,0.79,79.0
2016-05-03,89,79.0,,0.79,70.31
2016-05-04,92,79.0,,0.79,72.68
2016-05-05,97,79.0,,0.79,76.63000000000001
2016-05-06,89,79.0,,0.79,70.31
2016-05-07,87,79.0,,0.79,68.73
2016-05-08,83,79.0,,0.79,65.57000000000001
2016-05-09,94,79.0,,0.79,74.26
2016-05-10,89,79.0,,0.79,70.31
2016-05-11,88,79.0,,0.79,69.52000000000001
2016-05-12,89,79.0,,0.79,70.31
2016-05-13,91,79.0,,0.79,71.89
2016-05-14,81,79.0,,0.79,63.99
2016-05-15,79,79.0,,0.79,62.410000000000004
2016-05-16,88,79.0,,0.79,69.52000000000001
2016-05-17,83,79.0,,0.79,65.57000000000001
2016-05-18,85,79.0,,0.79,67.15
2016-05-19,88,79.0,,0.79,69.52000000000001
2016-05-20,88,79.0,,0.79,69.52000000000001
2016-05-21,88,79.0,,0.79,69.52000000000001
2016-05-22,80,79.0,,0.79,63.2
2016-05-23,89,79.0,,0.79,70.31
2016-05-24,78,79.0,,0.79,61.620000000000005
2016-05-25,84,79.0,,0.79,66.36
2016-05-26,84,79.0,,0.79,66.36
2016-05-27,80,79.0,,0.79,63.2
2016-05-28,68,79.0,,0.79,53.72
2016-05-29,79,79.0,,0.79,62.410000000000004
2016-05-30,79,79.0,,0.79,62.410000000000004
2016-05-31,77,79.0,,0.79,60.830000000000005
2016-06-01,78,72.0,False,0.72,56.16
2016-06-02,77,72.0,,0.72,55.44
2016-06-03,72,72.0,,0.72,51.839999999999996
2016-06-04,65,72.0,,0.72,46.8
2016-06-05,68,72.0,,0.72,48.96
2016-06-06,74,72.0,,0.72,53.28
2016-06-07,76,72.0,,0.72,54.72
2016-06-08,77,72.0,,0.72,55.44
2016-06-09,77,72.0,,0.72,55.44
2016-06-10,79,72.0,,0.72,56.879999999999995
2016-06-11,66,72.0,,0.72,47.519999999999996
2016-06-12,71,72.0,,0.72,51.12
2016-06-13,78,72.0,,0.72,56.16
2016-06-14,70,72.0,,0.72,50.4
2016-06-15,78,72.0,,0.72,56.16
2016-06-16,79,72.0,,0.72,56.879999999999995
2016-06-17,66,72.0,,0.72,47.519999999999996
2016-06-18,60,72.0,,0.72,43.199999999999996
2016-06-19,68,72.0,,0.72,48.96
2016-06-20,78,72.0,,0.72,56.16
2016-06-21,73,72.0,,0.72,52.559999999999995
2016-06-22,68,72.0,,0.72,48.96
2016-06-23,72,72.0,,0.72,51.839999999999996
2016-06-24,100,72.0,,0.72,72.0
2016-06-25,86,72.0,,0.72,61.919999999999995
2016-06-26,76,72.0,,0.72,54.72
2016-06-27,80,72.0,,0.72,57.599999999999994
2016-06-28,73,72.0,,0.72,52.559999999999995
2016-06-29,78,72.0,,0.72,56.16
2016-06-30,80,72.0,,0.72,57.599999999999994
2016-07-01,87,71.0,False,0.71,61.769999999999996
2016-07-02,85,71.0,,0.71,60.349999999999994
2016-07-03,83,71.0,,0.71,58.93
2016-07-04,87,71.0,,0.71,61.769999999999996
2016-07-05,93,71.0,,0.71,66.03
2016-07-06,88,71.0,,0.71,62.48
2016-07-07,86,71.0,,0.71,61.059999999999995
