date,FDX_unscaled,FDX_monthly,isPartial,scale,FDX
2016-05-01,10,20.0,False,0.2,2.0
2016-05-02,58,20.0,,0.2,11.600000000000001
2016-05-03,58,20.0,,0.2,11.600000000000001
2016-05-04,58,20.0,,0.2,11.600000000000001
2016-05-05,60,20.0,,0.2,12.0
2016-05-06,36,20.0,,0.2,7.2
2016-05-07,41,20.0,,0.2,8.200000000000001
2016-05-08,31,20.0,,0.2,6.2
2016-05-09,17,20.0,,0.2,3.4000000000000004
2016-05-10,100,20.0,,0.2,20.0
2016-05-11,42,20.0,,0.2,8.4
2016-05-12,87,20.0,,0.2,17.400000000000002
2016-05-13,71,20.0,,0.2,14.200000000000001
2016-05-14,42,20.0,,0.2,8.4
2016-05-15,42,20.0,,0.2,8.4
2016-05-16,52,20.0,,0.2,10.4
2016-05-17,42,20.0,,0.2,8.4
2016-05-18,60,20.0,,0.2,12.0
2016-05-19,87,20.0,,0.2,17.400000000000002
2016-05-20,27,20.0,,0.2,5.4
2016-05-21,21,20.0,,0.2,4.2
2016-05-22,10,20.0,,0.2,2.0
2016-05-23,69,20.0,,0.2,13.8
2016-05-24,69,20.0,,0.2,13.8
2016-05-25,96,20.0,,0.2,19.200000000000003
2016-05-26,36,20.0,,0.2,7.2
2016-05-27,28,20.0,,0.2,5.6000000000000005
2016-05-28,43,20.0,,0.2,8.6
2016-05-29,0,20.0,,0.2,0.0
2016-05-30,10,20.0,,0.2,2.0
2016-05-31,35,20.0,,0.2,7.0
2016-06-01,26,33.0,False,0.33,8.58
2016-06-02,17,33.0,,0.33,5.61
2016-06-03,44,33.0,,0.33,14.520000000000001
2016-06-04,10,33.0,,0.33,3.3000000000000003
2016-06-05,10,33.0,,0.33,3.3000000000000003
2016-06-06,55,33.0,,0.33,18.150000000000002
2016-06-07,34,33.0,,0.33,11.22
2016-06-08,21,33.0,,0.33,6.930000000000001
2016-06-09,22,33.0,,0.33,7.260000000000001
2016-06-10,45,33.0,,0.33,14.850000000000001
2016-06-11,0,33.0,,0.33,0.0
2016-06-12,15,33.0,,0.33,4.95
2016-06-13,21,33.0,,0.33,6.930000000000001
2016-06-14,34,33.0,,0.33,11.22
2016-06-15,21,33.0,,0.33,6.930000000000001
2016-06-16,43,33.0,,0.33,14.190000000000001
2016-06-17,22,33.0,,0.33,7.260000000000001
2016-06-18,21,33.0,,0.33,6.930000000000001
2016-06-19,11,33.0,,0.33,3.6300000000000003
2016-06-20,57,33.0,,0.33,18.810000000000002
2016-06-21,91,33.0,,0.33,30.03
2016-06-22,100,33.0,,0.33,33.0
2016-06-23,65,33.0,,0.33,21.45
2016-06-24,84,33.0,,0.33,27.720000000000002
2016-06-25,10,33.0,,0.33,3.3000000000000003
2016-06-26,11,33.0,,0.33,3.6300000000000003
2016-06-27,73,33.0,,0.33,24.09
2016-06-28,52,33.0,,0.33,17.16
2016-06-29,49,33.0,,0.33,16.17
2016-06-30,40,33.0,,0.33,13.200000000000001
2016-07-01,40,19.0,False,0.19,7.6
2016-07-02,34,19.0,,0.19,6.46
2016-07-03,12,19.0,,0.19,2.2800000000000002
2016-07-04,23,19.0,,0.19,4.37
2016-07-05,41,19.0,,0.19,7.79
2016-07-06,68,19.0,,0.19,12.92
2016-07-07,29,19.0,,0.19,5.51
