date,GDX_unscaled,GDX_monthly,isPartial,scale,GDX
2016-05-01,31,72.0,False,0.72,22.32
2016-05-02,100,72.0,,0.72,72.0
2016-05-03,69,72.0,,0.72,49.68
2016-05-04,100,72.0,,0.72,72.0
2016-05-05,85,72.0,,0.72,61.199999999999996
2016-05-06,96,72.0,,0.72,69.12
2016-05-07,48,72.0,,0.72,34.56
2016-05-08,16,72.0,,0.72,11.52
2016-05-09,76,72.0,,0.72,54.72
2016-05-10,90,72.0,,0.72,64.8
2016-05-11,66,72.0,,0.72,47.519999999999996
2016-05-12,76,72.0,,0.72,54.72
2016-05-13,80,72.0,,0.72,57.599999999999994
2016-05-14,52,72.0,,0.72,37.44
2016-05-15,46,72.0,,0.72,33.12
2016-05-16,77,72.0,,0.72,55.44
2016-05-17,81,72.0,,0.72,58.32
2016-05-18,66,72.0,,0.72,47.519999999999996
2016-05-19,75,72.0,,0.72,54.0
2016-05-20,89,72.0,,0.72,64.08
2016-05-21,36,72.0,,0.72,25.919999999999998
2016-05-22,10,72.0,,0.72,7.199999999999999
2016-05-23,59,72.0,,0.72,42.48
2016-05-24,64,72.0,,0.72,46.08
2016-05-25,97,72.0,,0.72,69.84
2016-05-26,58,72.0,,0.72,41.76
2016-05-27,86,72.0,,0.72,61.919999999999995
2016-05-28,44,72.0,,0.72,31.68
2016-05-29,14,72.0,,0.72,10.08
2016-05-30,16,72.0,,0.72,11.52
2016-05-31,49,72.0,,0.72,35.28
2016-06-01,31,97.0,False,0.97,30.07
2016-06-02,25,97.0,,0.97,24.25
2016-06-03,65,97.0,,0.97,63.05
2016-06-04,21,97.0,,0.97,20.37
2016-06-05,12,97.0,,0.97,11.64
2016-06-06,55,97.0,,0.97,53.35
2016-06-07,45,97.0,,0.97,43.65
2016-06-08,34,97.0,,0.97,32.98
2016-06-09,57,97.0,,0.97,55.29
2016-06-10,59,97.0,,0.97,57.23
2016-06-11,38,97.0,,0.97,36.86
2016-06-12,19,97.0,,0.97,18.43
2016-06-13,57,97.0,,0.97,55.29
2016-06-14,59,97.0,,0.97,57.23
2016-06-15,60,97.0,,0.97,58.199999999999996
2016-06-16,77,97.0,,0.97,74.69
2016-06-17,61,97.0,,0.97,59.17
2016-06-18,42,97.0,,0.97,40.74
2016-06-19,9,97.0,,0.97,8.73
2016-06-20,40,97.0,,0.97,38.8
2016-06-21,49,97.0,,0.97,47.53
2016-06-22,49,97.0,,0.97,47.53
2016-06-23,56,97.0,,0.97,54.32
2016-06-24,100,97.0,,0.97,97.0
2016-06-25,34,97.0,,0.97,32.98
2016-06-26,22,97.0,,0.97,21.34
2016-06-27,57,97.0,,0.97,55.29
2016-06-28,58,97.0,,0.97,56.26
2016-06-29,47,97.0,,0.97,45.589999999999996
2016-06-30,75,97.0,,0.97,72.75
2016-07-01,87,96.0,False,0.96,83.52
2016-07-02,34,96.0,,0.96,32.64
2016-07-03,31,96.0,,0.96,29.759999999999998
2016-07-04,30,96.0,,0.96,28.799999999999997
2016-07-05,93,96.0,,0.96,89.28
2016-07-06,89,96.0,,0.96,85.44
2016-07-07,85,96.0,,0.96,81.6
2016-07-08,100,96.0,,0.96,96.0
2016-07-09,54,96.0,,0.96,51.839999999999996
2016-07-10,30,96.0,,0.96,28.799999999999997
2016-07-11,68,96.0,,0.96,65.28
2016-07-12,66,96.0,,0.96,63.36
2016-07-13,79,96.0,,0.96,75.84
2016-07-14,73,96.0,,0.96,70.08
2016-07-15,62,96.0,,0.96,59.519999999999996
2016-07-16,14,96.0,,0.96,13.44
2016-07-17,16,96.0,,0.96,15.36
2016-07-18,53,96.0,,0.96,50.879999999999995
2016-07-19,50,96.0,,0.96,48.0
2016-07-20,75,96.0,,0.96,72.0
2016-07-21,65,96.0,,0.96,62.4
2016-07-22,78,96.0,,0.96,74.88
2016-07-23,23,96.0,,0.96,22.08
2016-07-24,23,96.0,,0.96,22.08
2016-07-25,52,96.0,,0.96,49.92
2016-07-26,60,96.0,,0.96,57.599999999999994
2016-07-27,96,96.0,,0.96,92.16
2016-07-28,69,96.0,,0.96,66.24
2016-07-29,76,96.0,,0.96,72.96
2016-07-30,38,96.0,,0.96,36.48
2016-07-31,25,96.0,,0.96,24.0
2016-08-01,67,79.0,False,0.79,52.93
2016-08-02,79,79.0,,0.79,62.410000000000004
2016-08-03,61,79.0,,0.79,48.190000000000005
2016-08-04,68,79.0,,0.79,53.72
2016-08-05,76,79.0,,0.79,60.040000000000006
2016-08-06,17,79.0,,0.79,13.43
2016-08-07,26,79.0,,0.79,20.54
2016-08-08,44,79.0,,0.79,34.760000000000005
2016-08-09,66,79.0,,0.79,52.14
2016-08-10,57,79.0,,0.79,45.03
2016-08-11,53,79.0,,0.79,41.870000000000005
2016-08-12,65,79.0,,0.79,51.35
2016-08-13,35,79.0,,0.79,27.650000000000002
2016-08-14,26,79.0,,0.79,20.54
2016-08-15,41,79.0,,0.79,32.39
2016-08-16,60,79.0,,0.79,47.400000000000006
2016-08-17,56,79.0,,0.79,44.24
2016-08-18,74,79.0,,0.79,58.46
2016-08-19,60,79.0,,0.79,47.400000000000006
2016-08-20,25,79.0,,0.79,19.75
2016-08-21,17,79.0,,0.79,13.43
2016-08-22,45,79.0,,0.79,35.550000000000004
2016-08-23,57,79.0,,0.79,45.03
2016-08-24,57,79.0,,0.79,45.03
2016-08-25,67,79.0,,0.79,52.93
2016-08-26,100,79.0,,0.79,79.0
2016-08-27,41,79.0,,0.79,32.39
2016-08-28,20,79.0,,0.79,15.8
2016-08-29,60,79.0,,0.79,47.400000000000006
2016-08-30,54,79.0,,0.79,42.660000000000004
2016-08-31,51,79.0,,0.79,40.29
2016-09-01,63,63.0,False,0.63,39.69
2016-09-02,100,63.0,,0.63,63.0
2016-09-03,24,63.0,,0.63,15.120000000000001
2016-09-04,9,63.0,,0.63,5.67
2016-09-05,35,63.0,,0.63,22.05
2016-09-06,88,63.0,,0.63,55.44
