date,INTC_unscaled,INTC_monthly,isPartial,scale,INTC
2016-05-01,22,27.0,False,0.27,5.94
2016-05-02,87,27.0,,0.27,23.490000000000002
2016-05-03,52,27.0,,0.27,14.040000000000001
2016-05-04,87,27.0,,0.27,23.490000000000002
2016-05-05,63,27.0,,0.27,17.01
2016-05-06,62,27.0,,0.27,16.740000000000002
2016-05-07,39,27.0,,0.27,10.530000000000001
2016-05-08,17,27.0,,0.27,4.59
2016-05-09,75,27.0,,0.27,20.25
2016-05-10,92,27.0,,0.27,24.840000000000003
2016-05-11,64,27.0,,0.27,17.28
2016-05-12,61,27.0,,0.27,16.470000000000002
2016-05-13,65,27.0,,0.27,17.55
2016-05-14,33,27.0,,0.27,8.91
2016-05-15,7,27.0,,0.27,1.8900000000000001
2016-05-16,82,27.0,,0.27,22.14
2016-05-17,59,27.0,,0.27,15.930000000000001
2016-05-18,67,27.0,,0.27,18.09
2016-05-19,71,27.0,,0.27,19.17
2016-05-20,74,27.0,,0.27,19.98
2016-05-21,14,27.0,,0.27,3.7800000000000002
2016-05-22,10,27.0,,0.27,2.7
2016-05-23,75,27.0,,0.27,20.25
2016-05-24,93,27.0,,0.27,25.110000000000003
2016-05-25,100,27.0,,0.27,27.0
2016-05-26,71,27.0,,0.27,19.17
2016-05-27,100,27.0,,0.27,27.0
2016-05-28,17,27.0,,0.27,4.59
2016-05-29,17,27.0,,0.27,4.59
2016-05-30,10,27.0,,0.27,2.7
2016-05-31,75,27.0,,0.27,20.25
2016-06-01,59,28.0,False,0.28,16.520000000000003
2016-06-02,62,28.0,,0.28,17.360000000000003
2016-06-03,45,28.0,,0.28,12.600000000000001
2016-06-04,15,28.0,,0.28,4.2
2016-06-05,8,28.0,,0.28,2.24
2016-06-06,50,28.0,,0.28,14.000000000000002
2016-06-07,61,28.0,,0.28,17.080000000000002
2016-06-08,48,28.0,,0.28,13.440000000000001
2016-06-09,38,28.0,,0.28,10.64
2016-06-10,74,28.0,,0.28,20.720000000000002
2016-06-11,26,28.0,,0.28,7.280000000000001
2016-06-12,11,28.0,,0.28,3.08
2016-06-13,62,28.0,,0.28,17.360000000000003
2016-06-14,61,28.0,,0.28,17.080000000000002
2016-06-15,35,28.0,,0.28,9.8
2016-06-16,67,28.0,,0.28,18.76
2016-06-17,39,28.0,,0.28,10.920000000000002
2016-06-18,8,28.0,,0.28,2.24
2016-06-19,3,28.0,,0.28,0.8400000000000001
2016-06-20,40,28.0,,0.28,11.200000000000001
2016-06-21,34,28.0,,0.28,9.520000000000001
2016-06-22,38,28.0,,0.28,10.64
2016-06-23,64,28.0,,0.28,17.92
2016-06-24,100,28.0,,0.28,28.000000000000004
2016-06-25,43,28.0,,0.28,12.040000000000001
2016-06-26,14,28.0,,0.28,3.9200000000000004
2016-06-27,77,28.0,,0.28,21.560000000000002
2016-06-28,87,28.0,,0.28,24.360000000000003
2016-06-29,73,28.0,,0.28,20.44
2016-06-30,81,28.0,,0.28,22.680000000000003
2016-07-01,29,44.0,False,0.44,12.76
2016-07-02,5,44.0,,0.44,2.2
2016-07-03,3,44.0,,0.44,1.32
2016-07-04,5,44.0,,0.44,2.2
2016-07-05,19,44.0,,0.44,8.36
2016-07-06,19,44.0,,0.44,8.36
2016-07-07,19,44.0,,0.44,8.36
2016-07-08,27,44.0,,0.44,11.88
2016-07-09,8,44.0,,0.44,3.52
2016-07-10,4,44.0,,0.44,1.76
2016-07-11,35,44.0,,0.44,15.4
2016-07-12,50,44.0,,0.44,22.0
2016-07-13,41,44.0,,0.44,18.04
2016-07-14,35,44.0,,0.44,15.4
2016-07-15,32,44.0,,0.44,14.08
2016-07-16,10,44.0,,0.44,4.4
2016-07-17,5,44.0,,0.44,2.2
2016-07-18,22,44.0,,0.44,9.68
2016-07-19,29,44.0,,0.44,12.76
2016-07-20,100,44.0,,0.44,44.0
2016-07-21,77,44.0,,0.44,33.88
2016-07-22,40,44.0,,0.44,17.6
2016-07-23,10,44.0,,0.44,4.4
2016-07-24,4,44.0,,0.44,1.76
2016-07-25,23,44.0,,0.44,10.12
2016-07-26,28,44.0,,0.44,12.32
2016-07-27,40,44.0,,0.44,17.6
2016-07-28,26,44.0,,0.44,11.44
2016-07-29,23,44.0,,0.44,10.12
2016-07-30,5,44.0,,0.44,2.2
2016-07-31,4,44.0,,0.44,1.76
2016-08-01,49,30.0,False,0.3,14.7
2016-08-02,54,30.0,,0.3,16.2
2016-08-03,48,30.0,,0.3,14.399999999999999
2016-08-04,65,30.0,,0.3,19.5
2016-08-05,100,30.0,,0.3,30.0
2016-08-06,19,30.0,,0.3,5.7
2016-08-07,14,30.0,,0.3,4.2
2016-08-08,72,30.0,,0.3,21.599999999999998
2016-08-09,70,30.0,,0.3,21.0
2016-08-10,69,30.0,,0.3,20.7
2016-08-11,52,30.0,,0.3,15.6
2016-08-12,59,30.0,,0.3,17.7
2016-08-13,18,30.0,,0.3,5.3999999999999995
2016-08-14,16,30.0,,0.3,4.8
2016-08-15,64,30.0,,0.3,19.2
2016-08-16,67,30.0,,0.3,20.099999999999998
2016-08-17,53,30.0,,0.3,15.899999999999999
2016-08-18,73,30.0,,0.3,21.9
2016-08-19,58,30.0,,0.3,17.4
2016-08-20,11,30.0,,0.3,3.3
2016-08-21,25,30.0,,0.3,7.5
2016-08-22,74,30.0,,0.3,22.2
2016-08-23,84,30.0,,0.3,25.2
2016-08-24,41,30.0,,0.3,12.299999999999999
2016-08-25,36,30.0,,0.3,10.799999999999999
2016-08-26,57,30.0,,0.3,17.099999999999998
2016-08-27,15,30.0,,0.3,4.5
2016-08-28,13,30.0,,0.3,3.9
2016-08-29,82,30.0,,0.3,24.599999999999998
2016-08-30,65,30.0,,0.3,19.5
2016-08-31,44,30.0,,0.3,13.2
2016-09-01,35,33.0,False,0.33,11.55
2016-09-02,43,33.0,,0.33,14.190000000000001
2016-09-03,14,33.0,,0.33,4.62
2016-09-04,15,33.0,,0.33,4.95
2016-09-05,4,33.0,,0.33,1.32
2016-09-06,53,33.0,,0.33,17.490000000000002
2016-09-07,55,33.0,,0.33,18.150000000000002
2016-09-08,45,33.0,,0.33,14.850000000000001
2016-09-09,36,33.0,,0.33,11.88
2016-09-10,14,33.0,,0.33,4.62
2016-09-11,10,33.0,,0.33,3.3000000000000003
2016-09-12,33,33.0,,0.33,10.89
2016-09-13,31,33.0,,0.33,10.23
2016-09-14,44,33.0,,0.33,14.520000000000001
2016-09-15,48,33.0,,0.33,15.84
2016-09-16,100,33.0,,0.33,33.0
2016-09-17,17,33.0,,0.33,5.61
2016-09-18,12,33.0,,0.33,3.96
2016-09-19,51,33.0,,0.33,16.830000000000002
2016-09-20,50,33.0,,0.33,16.5
2016-09-21,36,33.0,,0.33,11.88
2016-09-22,44,33.0,,0.33,14.520000000000001
2016-09-23,38,33.0,,0.33,12.540000000000001
2016-09-24,17,33.0,,0.33,5.61
2016-09-25,9,33.0,,0.33,2.97
2016-09-26,24,33.0,,0.33,7.92
2016-09-27,41,33.0,,0.33,13.530000000000001
2016-09-28,35,33.0,,0.33,11.55
2016-09-29,26,33.0,,0.33,8.58
2016-09-30,41,33.0,,0.33,13.530000000000001
2016-10-01,3,35.0,False,0.35,1.0499999999999998
2016-10-02,4,35.0,,0.35,1.4
2016-10-03,26,35.0,,0.35,9.1
2016-10-04,20,35.0,,0.35,7.0
2016-10-05,26,35.0,,0.35,9.1
2016-10-06,26,35.0,,0.35,9.1
2016-10-07,24,35.0,,0.35,8.399999999999999
2016-10-08,4,35.0,,0.35,1.4
2016-10-09,8,35.0,,0.35,2.8
