date,MA_unscaled,MA_monthly,isPartial,scale,MA
2016-05-01,82,99.0,False,0.99,81.17999999999999
2016-05-02,92,99.0,,0.99,91.08
2016-05-03,88,99.0,,0.99,87.12
2016-05-04,88,99.0,,0.99,87.12
2016-05-05,91,99.0,,0.99,90.09
2016-05-06,93,99.0,,0.99,92.07
2016-05-07,87,99.0,,0.99,86.13
2016-05-08,83,99.0,,0.99,82.17
2016-05-09,90,99.0,,0.99,89.1
2016-05-10,89,99.0,,0.99,88.11
2016-05-11,89,99.0,,0.99,88.11
2016-05-12,91,99.0,,0.99,90.09
2016-05-13,95,99.0,,0.99,94.05
2016-05-14,87,99.0,,0.99,86.13
2016-05-15,87,99.0,,0.99,86.13
2016-05-16,96,99.0,,0.99,95.03999999999999
2016-05-17,91,99.0,,0.99,90.09
2016-05-18,91,99.0,,0.99,90.09
2016-05-19,93,99.0,,0.99,92.07
2016-05-20,92,99.0,,0.99,91.08
2016-05-21,90,99.0,,0.99,89.1
2016-05-22,85,99.0,,0.99,84.15
2016-05-23,94,99.0,,0.99,93.06
2016-05-24,95,99.0,,0.99,94.05
2016-05-25,92,99.0,,0.99,91.08
2016-05-26,92,99.0,,0.99,91.08
2016-05-27,89,99.0,,0.99,88.11
2016-05-28,87,99.0,,0.99,86.13
2016-05-29,89,99.0,,0.99,88.11
2016-05-30,94,99.0,,0.99,93.06
2016-05-31,100,99.0,,0.99,99.0
2016-06-01,93,100.0,False,1.0,93.0
2016-06-02,89,100.0,,1.0,89.0
2016-06-03,92,100.0,,1.0,92.0
2016-06-04,82,100.0,,1.0,82.0
2016-06-05,85,100.0,,1.0,85.0
2016-06-06,94,100.0,,1.0,94.0
2016-06-07,93,100.0,,1.0,93.0
2016-06-08,93,100.0,,1.0,93.0
2016-06-09,92,100.0,,1.0,92.0
2016-06-10,91,100.0,,1.0,91.0
2016-06-11,88,100.0,,1.0,88.0
2016-06-12,83,100.0,,1.0,83.0
2016-06-13,90,100.0,,1.0,90.0
2016-06-14,90,100.0,,1.0,90.0
2016-06-15,90,100.0,,1.0,90.0
2016-06-16,89,100.0,,1.0,89.0
2016-06-17,91,100.0,,1.0,91.0
2016-06-18,87,100.0,,1.0,87.0
2016-06-19,79,100.0,,1.0,79.0
2016-06-20,95,100.0,,1.0,95.0
2016-06-21,94,100.0,,1.0,94.0
2016-06-22,94,100.0,,1.0,94.0
2016-06-23,89,100.0,,1.0,89.0
2016-06-24,89,100.0,,1.0,89.0
2016-06-25,84,100.0,,1.0,84.0
2016-06-26,87,100.0,,1.0,87.0
2016-06-27,100,100.0,,1.0,100.0
2016-06-28,96,100.0,,1.0,96.0
2016-06-29,97,100.0,,1.0,97.0
2016-06-30,92,100.0,,1.0,92.0
2016-07-01,92,100.0,False,1.0,92.0
2016-07-02,86,100.0,,1.0,86.0
2016-07-03,82,100.0,,1.0,82.0
2016-07-04,82,100.0,,1.0,82.0
2016-07-05,100,100.0,,1.0,100.0
2016-07-06,92,100.0,,1.0,92.0
2016-07-07,93,100.0,,1.0,93.0
2016-07-08,91,100.0,,1.0,91.0
2016-07-09,83,100.0,,1.0,83.0
2016-07-10,88,100.0,,1.0,88.0
2016-07-11,93,100.0,,1.0,93.0
2016-07-12,91,100.0,,1.0,91.0
2016-07-13,87,100.0,,1.0,87.0
2016-07-14,89,100.0,,1.0,89.0
2016-07-15,87,100.0,,1.0,87.0
2016-07-16,80,100.0,,1.0,80.0
2016-07-17,80,100.0,,1.0,80.0
2016-07-18,97,100.0,,1.0,97.0
2016-07-19,88,100.0,,1.0,88.0
2016-07-20,91,100.0,,1.0,91.0
2016-07-21,91,100.0,,1.0,91.0
2016-07-22,89,100.0,,1.0,89.0
2016-07-23,85,100.0,,1.0,85.0
2016-07-24,80,100.0,,1.0,80.0
2016-07-25,93,100.0,,1.0,93.0
2016-07-26,89,100.0,,1.0,89.0
2016-07-27,88,100.0,,1.0,88.0
2016-07-28,89,100.0,,1.0,89.0
2016-07-29,90,100.0,,1.0,90.0
2016-07-30,82,100.0,,1.0,82.0
2016-07-31,84,100.0,,1.0,84.0
2016-08-01,98,97.0,False,0.97,95.06
2016-08-02,95,97.0,,0.97,92.14999999999999
2016-08-03,93,97.0,,0.97,90.21
2016-08-04,92,97.0,,0.97,89.24
2016-08-05,96,97.0,,0.97,93.12
2016-08-06,87,97.0,,0.97,84.39
2016-08-07,81,97.0,,0.97,78.57
2016-08-08,97,97.0,,0.97,94.09
2016-08-09,94,97.0,,0.97,91.17999999999999
2016-08-10,98,97.0,,0.97,95.06
2016-08-11,98,97.0,,0.97,95.06
2016-08-12,98,97.0,,0.97,95.06
2016-08-13,84,97.0,,0.97,81.48
2016-08-14,82,97.0,,0.97,79.53999999999999
2016-08-15,95,97.0,,0.97,92.14999999999999
2016-08-16,96,97.0,,0.97,93.12
2016-08-17,91,97.0,,0.97,88.27
2016-08-18,90,97.0,,0.97,87.3
2016-08-19,91,97.0,,0.97,88.27
2016-08-20,83,97.0,,0.97,80.50999999999999
2016-08-21,79,97.0,,0.97,76.63
2016-08-22,100,97.0,,0.97,97.0
2016-08-23,95,97.0,,0.97,92.14999999999999
2016-08-24,93,97.0,,0.97,90.21
2016-08-25,93,97.0,,0.97,90.21
2016-08-26,92,97.0,,0.97,89.24
2016-08-27,85,97.0,,0.97,82.45
2016-08-28,84,97.0,,0.97,81.48
2016-08-29,94,97.0,,0.97,91.17999999999999
2016-08-30,91,97.0,,0.97,88.27
2016-08-31,93,97.0,,0.97,90.21
2016-09-01,96,94.0,False,0.94,90.24
2016-09-02,97,94.0,,0.94,91.17999999999999
2016-09-03,89,94.0,,0.94,83.66
2016-09-04,91,94.0,,0.94,85.53999999999999
2016-09-05,91,94.0,,0.94,85.53999999999999
2016-09-06,100,94.0,,0.94,94.0
2016-09-07,94,94.0,,0.94,88.36
2016-09-08,94,94.0,,0.94,88.36
2016-09-09,97,94.0,,0.94,91.17999999999999
2016-09-10,95,94.0,,0.94,89.3
2016-09-11,84,94.0,,0.94,78.96
2016-09-12,93,94.0,,0.94,87.42
2016-09-13,91,94.0,,0.94,85.53999999999999
2016-09-14,93,94.0,,0.94,87.42
2016-09-15,91,94.0,,0.94,85.53999999999999
2016-09-16,92,94.0,,0.94,86.47999999999999
2016-09-17,90,94.0,,0.94,84.6
2016-09-18,80,94.0,,0.94,75.19999999999999
2016-09-19,94,94.0,,0.94,88.36
2016-09-20,92,94.0,,0.94,86.47999999999999
2016-09-21,90,94.0,,0.94,84.6
2016-09-22,88,94.0,,0.94,82.72
2016-09-23,94,94.0,,0.94,88.36
2016-09-24,89,94.0,,0.94,83.66
2016-09-25,83,94.0,,0.94,78.02
2016-09-26,94,94.0,,0.94,88.36
2016-09-27,89,94.0,,0.94,83.66
2016-09-28,91,94.0,,0.94,85.53999999999999
2016-09-29,90,94.0,,0.94,84.6
2016-09-30,94,94.0,,0.94,88.36
2016-10-01,88,94.0,False,0.94,82.72
2016-10-02,81,94.0,,0.94,76.14
2016-10-03,92,94.0,,0.94,86.47999999999999
2016-10-04,90,94.0,,0.94,84.6
2016-10-05,91,94.0,,0.94,85.53999999999999
2016-10-06,88,94.0,,0.94,82.72
2016-10-07,86,94.0,,0.94,80.83999999999999
2016-10-08,91,94.0,,0.94,85.53999999999999
2016-10-09,83,94.0,,0.94,78.02
2016-10-10,79,94.0,,0.94,74.25999999999999
2016-10-11,91,94.0,,0.94,85.53999999999999
2016-10-12,87,94.0,,0.94,81.78
2016-10-13,89,94.0,,0.94,83.66
2016-10-14,94,94.0,,0.94,88.36
2016-10-15,97,94.0,,0.94,91.17999999999999
2016-10-16,84,94.0,,0.94,78.96
2016-10-17,95,94.0,,0.94,89.3
2016-10-18,94,94.0,,0.94,88.36
2016-10-19,95,94.0,,0.94,89.3
2016-10-20,95,94.0,,0.94,89.3
2016-10-21,96,94.0,,0.94,90.24
2016-10-22,100,94.0,,0.94,94.0
2016-10-23,81,94.0,,0.94,76.14
2016-10-24,95,94.0,,0.94,89.3
2016-10-25,90,94.0,,0.94,84.6
2016-10-26,90,94.0,,0.94,84.6
2016-10-27,90,94.0,,0.94,84.6
2016-10-28,97,94.0,,0.94,91.17999999999999
2016-10-29,91,94.0,,0.94,85.53999999999999
2016-10-30,83,94.0,,0.94,78.02
2016-10-31,90,94.0,,0.94,84.6
2016-11-01,98,87.0,False,0.87,85.26
2016-11-02,96,87.0,,0.87,83.52
2016-11-03,94,87.0,,0.87,81.78
2016-11-04,100,87.0,,0.87,87.0
2016-11-05,95,87.0,,0.87,82.65
2016-11-06,84,87.0,,0.87,73.08
2016-11-07,98,87.0,,0.87,85.26
2016-11-08,99,87.0,,0.87,86.13
2016-11-09,74,87.0,,0.87,64.38
2016-11-10,89,87.0,,0.87,77.42999999999999
2016-11-11,92,87.0,,0.87,80.04
2016-11-12,88,87.0,,0.87,76.56
2016-11-13,78,87.0,,0.87,67.86
2016-11-14,90,87.0,,0.87,78.3
2016-11-15,90,87.0,,0.87,78.3
