date,PSM_unscaled,PSM_monthly,isPartial,scale,PSM
2016-05-01,59,82.0,False,0.82,48.379999999999995
2016-05-02,92,82.0,,0.82,75.44
2016-05-03,73,82.0,,0.82,59.86
2016-05-04,98,82.0,,0.82,80.36
2016-05-05,76,82.0,,0.82,62.31999999999999
2016-05-06,72,82.0,,0.82,59.04
2016-05-07,38,82.0,,0.82,31.159999999999997
2016-05-08,54,82.0,,0.82,44.279999999999994
2016-05-09,81,82.0,,0.82,66.42
2016-05-10,74,82.0,,0.82,60.68
2016-05-11,100,82.0,,0.82,82.0
2016-05-12,96,82.0,,0.82,78.72
2016-05-13,79,82.0,,0.82,64.78
2016-05-14,31,82.0,,0.82,25.419999999999998
2016-05-15,23,82.0,,0.82,18.86
2016-05-16,64,82.0,,0.82,52.48
2016-05-17,93,82.0,,0.82,76.25999999999999
2016-05-18,75,82.0,,0.82,61.49999999999999
2016-05-19,70,82.0,,0.82,57.4
2016-05-20,93,82.0,,0.82,76.25999999999999
2016-05-21,47,82.0,,0.82,38.54
2016-05-22,46,82.0,,0.82,37.72
2016-05-23,89,82.0,,0.82,72.97999999999999
2016-05-24,70,82.0,,0.82,57.4
2016-05-25,71,82.0,,0.82,58.22
2016-05-26,73,82.0,,0.82,59.86
2016-05-27,48,82.0,,0.82,39.36
2016-05-28,24,82.0,,0.82,19.68
2016-05-29,24,82.0,,0.82,19.68
2016-05-30,68,82.0,,0.82,55.76
2016-05-31,84,82.0,,0.82,68.88
2016-06-01,75,90.0,False,0.9,67.5
2016-06-02,90,90.0,,0.9,81.0
2016-06-03,67,90.0,,0.9,60.300000000000004
2016-06-04,47,90.0,,0.9,42.300000000000004
2016-06-05,23,90.0,,0.9,20.7
2016-06-06,50,90.0,,0.9,45.0
2016-06-07,99,90.0,,0.9,89.10000000000001
2016-06-08,75,90.0,,0.9,67.5
2016-06-09,67,90.0,,0.9,60.300000000000004
2016-06-10,48,90.0,,0.9,43.2
2016-06-11,47,90.0,,0.9,42.300000000000004
2016-06-12,54,90.0,,0.9,48.6
2016-06-13,45,90.0,,0.9,40.5
2016-06-14,59,90.0,,0.9,53.1
2016-06-15,45,90.0,,0.9,40.5
2016-06-16,41,90.0,,0.9,36.9
2016-06-17,37,90.0,,0.9,33.300000000000004
2016-06-18,37,90.0,,0.9,33.300000000000004
2016-06-19,37,90.0,,0.9,33.300000000000004
2016-06-20,46,90.0,,0.9,41.4
2016-06-21,92,90.0,,0.9,82.8
2016-06-22,82,90.0,,0.9,73.8
2016-06-23,91,90.0,,0.9,81.9
2016-06-24,62,90.0,,0.9,55.800000000000004
2016-06-25,12,90.0,,0.9,10.8
2016-06-26,56,90.0,,0.9,50.4
2016-06-27,60,90.0,,0.9,54.0
2016-06-28,66,90.0,,0.9,59.4
2016-06-29,52,90.0,,0.9,46.800000000000004
2016-06-30,100,90.0,,0.9,90.0
2016-07-01,62,79.0,False,0.79,48.980000000000004
2016-07-02,24,79.0,,0.79,18.96
2016-07-03,37,79.0,,0.79,29.23
2016-07-04,24,79.0,,0.79,18.96
2016-07-05,68,79.0,,0.79,53.72
2016-07-06,100,79.0,,0.79,79.0
2016-07-07,90,79.0,,0.79,71.10000000000001
2016-07-08,20,79.0,,0.79,15.8
2016-07-09,47,79.0,,0.79,37.13
2016-07-10,35,79.0,,0.79,27.650000000000002
2016-07-11,45,79.0,,0.79,35.550000000000004
2016-07-12,50,79.0,,0.79,39.5
2016-07-13,31,79.0,,0.79,24.490000000000002
2016-07-14,53,79.0,,0.79,41.870000000000005
2016-07-15,62,79.0,,0.79,48.980000000000004
2016-07-16,41,79.0,,0.79,32.39
2016-07-17,24,79.0,,0.79,18.96
2016-07-18,71,79.0,,0.79,56.09
2016-07-19,70,79.0,,0.79,55.300000000000004
2016-07-20,51,79.0,,0.79,40.29
2016-07-21,87,79.0,,0.79,68.73
2016-07-22,57,79.0,,0.79,45.03
2016-07-23,41,79.0,,0.79,32.39
2016-07-24,29,79.0,,0.79,22.91
2016-07-25,44,79.0,,0.79,34.760000000000005
2016-07-26,50,79.0,,0.79,39.5
2016-07-27,59,79.0,,0.79,46.61
2016-07-28,64,79.0,,0.79,50.56
2016-07-29,40,79.0,,0.79,31.6
2016-07-30,29,79.0,,0.79,22.91
2016-07-31,70,79.0,,0.79,55.300000000000004
2016-08-01,59,100.0,False,1.0,59.0
2016-08-02,41,100.0,,1.0,41.0
2016-08-03,70,100.0,,1.0,70.0
2016-08-04,85,100.0,,1.0,85.0
2016-08-05,76,100.0,,1.0,76.0
2016-08-06,52,100.0,,1.0,52.0
2016-08-07,46,100.0,,1.0,46.0
2016-08-08,85,100.0,,1.0,85.0
2016-08-09,76,100.0,,1.0,76.0
2016-08-10,34,100.0,,1.0,34.0
2016-08-11,100,100.0,,1.0,100.0
2016-08-12,65,100.0,,1.0,65.0
2016-08-13,44,100.0,,1.0,44.0
2016-08-14,63,100.0,,1.0,63.0
2016-08-15,29,100.0,,1.0,29.0
2016-08-16,54,100.0,,1.0,54.0
2016-08-17,93,100.0,,1.0,93.0
2016-08-18,55,100.0,,1.0,55.0
2016-08-19,66,100.0,,1.0,66.0
2016-08-20,41,100.0,,1.0,41.0
2016-08-21,87,100.0,,1.0,87.0
2016-08-22,59,100.0,,1.0,59.0
2016-08-23,63,100.0,,1.0,63.0
2016-08-24,58,100.0,,1.0,58.0
2016-08-25,32,100.0,,1.0,32.0
2016-08-26,56,100.0,,1.0,56.0
2016-08-27,37,100.0,,1.0,37.0
2016-08-28,53,100.0,,1.0,53.0
2016-08-29,36,100.0,,1.0,36.0
2016-08-30,71,100.0,,1.0,71.0
2016-08-31,31,100.0,,1.0,31.0
2016-09-01,59,82.0,False,0.82,48.379999999999995
2016-09-02,46,82.0,,0.82,37.72
2016-09-03,29,82.0,,0.82,23.779999999999998
2016-09-04,49,82.0,,0.82,40.18
2016-09-05,39,82.0,,0.82,31.979999999999997
2016-09-06,54,82.0,,0.82,44.279999999999994
