date,SPXU_unscaled,SPXU_monthly,isPartial,scale,SPXU
2016-05-01,16,12.0,False,0.12,1.92
2016-05-02,14,12.0,,0.12,1.68
2016-05-03,27,12.0,,0.12,3.2399999999999998
2016-05-04,68,12.0,,0.12,8.16
2016-05-05,28,12.0,,0.12,3.36
2016-05-06,73,12.0,,0.12,8.76
2016-05-07,17,12.0,,0.12,2.04
2016-05-08,0,12.0,,0.12,0.0
2016-05-09,14,12.0,,0.12,1.68
2016-05-10,14,12.0,,0.12,1.68
2016-05-11,14,12.0,,0.12,1.68
2016-05-12,29,12.0,,0.12,3.48
2016-05-13,59,12.0,,0.12,7.08
2016-05-14,0,12.0,,0.12,0.0
2016-05-15,0,12.0,,0.12,0.0
2016-05-16,0,12.0,,0.12,0.0
2016-05-17,14,12.0,,0.12,1.68
2016-05-18,84,12.0,,0.12,10.08
2016-05-19,100,12.0,,0.12,12.0
2016-05-20,74,12.0,,0.12,8.879999999999999
2016-05-21,18,12.0,,0.12,2.16
2016-05-22,0,12.0,,0.12,0.0
2016-05-23,29,12.0,,0.12,3.48
2016-05-24,57,12.0,,0.12,6.84
2016-05-25,43,12.0,,0.12,5.16
2016-05-26,59,12.0,,0.12,7.08
2016-05-27,31,12.0,,0.12,3.7199999999999998
2016-05-28,18,12.0,,0.12,2.16
2016-05-29,0,12.0,,0.12,0.0
2016-05-30,0,12.0,,0.12,0.0
2016-05-31,29,12.0,,0.12,3.48
2016-06-01,12,21.0,False,0.21,2.52
2016-06-02,18,21.0,,0.21,3.78
2016-06-03,30,21.0,,0.21,6.3
2016-06-04,0,21.0,,0.21,0.0
2016-06-05,0,21.0,,0.21,0.0
2016-06-06,6,21.0,,0.21,1.26
2016-06-07,6,21.0,,0.21,1.26
2016-06-08,12,21.0,,0.21,2.52
2016-06-09,18,21.0,,0.21,3.78
2016-06-10,31,21.0,,0.21,6.51
2016-06-11,14,21.0,,0.21,2.94
2016-06-12,0,21.0,,0.21,0.0
2016-06-13,29,21.0,,0.21,6.09
2016-06-14,40,21.0,,0.21,8.4
2016-06-15,18,21.0,,0.21,3.78
2016-06-16,36,21.0,,0.21,7.56
2016-06-17,18,21.0,,0.21,3.78
2016-06-18,14,21.0,,0.21,2.94
2016-06-19,0,21.0,,0.21,0.0
2016-06-20,12,21.0,,0.21,2.52
2016-06-21,12,21.0,,0.21,2.52
2016-06-22,6,21.0,,0.21,1.26
2016-06-23,24,21.0,,0.21,5.04
2016-06-24,55,21.0,,0.21,11.549999999999999
2016-06-25,7,21.0,,0.21,1.47
2016-06-26,0,21.0,,0.21,0.0
2016-06-27,100,21.0,,0.21,21.0
2016-06-28,42,21.0,,0.21,8.82
2016-06-29,24,21.0,,0.21,5.04
2016-06-30,55,21.0,,0.21,11.549999999999999
2016-07-01,29,16.0,False,0.16,4.64
2016-07-02,17,16.0,,0.16,2.72
2016-07-03,0,16.0,,0.16,0.0
2016-07-04,0,16.0,,0.16,0.0
2016-07-05,89,16.0,,0.16,14.24
2016-07-06,85,16.0,,0.16,13.6
2016-07-07,85,16.0,,0.16,13.6
2016-07-08,43,16.0,,0.16,6.88
2016-07-09,17,16.0,,0.16,2.72
2016-07-10,0,16.0,,0.16,0.0
2016-07-11,57,16.0,,0.16,9.120000000000001
2016-07-12,57,16.0,,0.16,9.120000000000001
2016-07-13,58,16.0,,0.16,9.28
2016-07-14,96,16.0,,0.16,15.36
2016-07-15,44,16.0,,0.16,7.04
2016-07-16,33,16.0,,0.16,5.28
2016-07-17,0,16.0,,0.16,0.0
2016-07-18,100,16.0,,0.16,16.0
2016-07-19,42,16.0,,0.16,6.72
2016-07-20,72,16.0,,0.16,11.52
2016-07-21,43,16.0,,0.16,6.88
2016-07-22,0,16.0,,0.16,0.0
2016-07-23,0,16.0,,0.16,0.0
2016-07-24,17,16.0,,0.16,2.72
2016-07-25,56,16.0,,0.16,8.96
2016-07-26,42,16.0,,0.16,6.72
2016-07-27,0,16.0,,0.16,0.0
2016-07-28,28,16.0,,0.16,4.48
2016-07-29,71,16.0,,0.16,11.36
2016-07-30,16,16.0,,0.16,2.56
2016-07-31,0,16.0,,0.16,0.0
2016-08-01,91,14.0,False,0.14,12.740000000000002
2016-08-02,61,14.0,,0.14,8.540000000000001
2016-08-03,16,14.0,,0.14,2.24
2016-08-04,32,14.0,,0.14,4.48
2016-08-05,51,14.0,,0.14,7.140000000000001
2016-08-06,19,14.0,,0.14,2.66
2016-08-07,0,14.0,,0.14,0.0
2016-08-08,47,14.0,,0.14,6.580000000000001
2016-08-09,16,14.0,,0.14,2.24
2016-08-10,65,14.0,,0.14,9.100000000000001
2016-08-11,34,14.0,,0.14,4.760000000000001
2016-08-12,100,14.0,,0.14,14.000000000000002
2016-08-13,37,14.0,,0.14,5.180000000000001
2016-08-14,0,14.0,,0.14,0.0
2016-08-15,32,14.0,,0.14,4.48
2016-08-16,0,14.0,,0.14,0.0
2016-08-17,66,14.0,,0.14,9.24
2016-08-18,34,14.0,,0.14,4.760000000000001
2016-08-19,68,14.0,,0.14,9.520000000000001
2016-08-20,20,14.0,,0.14,2.8000000000000003
2016-08-21,0,14.0,,0.14,0.0
2016-08-22,33,14.0,,0.14,4.62
2016-08-23,32,14.0,,0.14,4.48
2016-08-24,80,14.0,,0.14,11.200000000000001
