date,TTWO_unscaled,TTWO_monthly,isPartial,scale,TTWO
2016-05-01,0,15.0,False,0.15,0.0
2016-05-02,15,15.0,,0.15,2.25
2016-05-03,15,15.0,,0.15,2.25
2016-05-04,0,15.0,,0.15,0.0
2016-05-05,32,15.0,,0.15,4.8
2016-05-06,66,15.0,,0.15,9.9
2016-05-07,0,15.0,,0.15,0.0
2016-05-08,19,15.0,,0.15,2.85
2016-05-09,16,15.0,,0.15,2.4
2016-05-10,15,15.0,,0.15,2.25
2016-05-11,31,15.0,,0.15,4.6499999999999995
2016-05-12,48,15.0,,0.15,7.199999999999999
2016-05-13,82,15.0,,0.15,12.299999999999999
2016-05-14,19,15.0,,0.15,2.85
2016-05-15,0,15.0,,0.15,0.0
2016-05-16,48,15.0,,0.15,7.199999999999999
2016-05-17,93,15.0,,0.15,13.95
2016-05-18,63,15.0,,0.15,9.45
2016-05-19,96,15.0,,0.15,14.399999999999999
2016-05-20,100,15.0,,0.15,15.0
2016-05-21,0,15.0,,0.15,0.0
2016-05-22,19,15.0,,0.15,2.85
2016-05-23,64,15.0,,0.15,9.6
2016-05-24,16,15.0,,0.15,2.4
2016-05-25,97,15.0,,0.15,14.549999999999999
2016-05-26,50,15.0,,0.15,7.5
2016-05-27,17,15.0,,0.15,2.55
2016-05-28,0,15.0,,0.15,0.0
2016-05-29,41,15.0,,0.15,6.1499999999999995
2016-05-30,19,15.0,,0.15,2.85
2016-05-31,0,15.0,,0.15,0.0
2016-06-01,98,10.0,False,0.1,9.8
2016-06-02,0,10.0,,0.1,0.0
2016-06-03,20,10.0,,0.1,2.0
2016-06-04,23,10.0,,0.1,2.3000000000000003
2016-06-05,0,10.0,,0.1,0.0
2016-06-06,20,10.0,,0.1,2.0
2016-06-07,19,10.0,,0.1,1.9000000000000001
2016-06-08,20,10.0,,0.1,2.0
2016-06-09,40,10.0,,0.1,4.0
2016-06-10,21,10.0,,0.1,2.1
2016-06-11,23,10.0,,0.1,2.3000000000000003
2016-06-12,0,10.0,,0.1,0.0
2016-06-13,39,10.0,,0.1,3.9000000000000004
2016-06-14,0,10.0,,0.1,0.0
2016-06-15,79,10.0,,0.1,7.9
2016-06-16,20,10.0,,0.1,2.0
2016-06-17,21,10.0,,0.1,2.1
2016-06-18,48,10.0,,0.1,4.800000000000001
2016-06-19,0,10.0,,0.1,0.0
2016-06-20,60,10.0,,0.1,6.0
2016-06-21,0,10.0,,0.1,0.0
2016-06-22,100,10.0,,0.1,10.0
2016-06-23,20,10.0,,0.1,2.0
2016-06-24,41,10.0,,0.1,4.1000000000000005
2016-06-25,48,10.0,,0.1,4.800000000000001
2016-06-26,0,10.0,,0.1,0.0
2016-06-27,20,10.0,,0.1,2.0
2016-06-28,0,10.0,,0.1,0.0
2016-06-29,41,10.0,,0.1,4.1000000000000005
2016-06-30,82,10.0,,0.1,8.200000000000001
2016-07-01,52,12.0,False,0.12,6.24
2016-07-02,30,12.0,,0.12,3.5999999999999996
2016-07-03,31,12.0,,0.12,3.7199999999999998
2016-07-04,30,12.0,,0.12,3.5999999999999996
2016-07-05,27,12.0,,0.12,3.2399999999999998
2016-07-06,25,12.0,,0.12,3.0
2016-07-07,25,12.0,,0.12,3.0
2016-07-08,77,12.0,,0.12,9.24
2016-07-09,0,12.0,,0.12,0.0
2016-07-10,0,12.0,,0.12,0.0
2016-07-11,76,12.0,,0.12,9.12
2016-07-12,51,12.0,,0.12,6.12
2016-07-13,78,12.0,,0.12,9.36
