date,ZM_unscaled,ZM_monthly,isPartial,scale,ZM
2016-05-01,23,4.0,False,0.04,0.92
2016-05-02,38,4.0,,0.04,1.52
2016-05-03,56,4.0,,0.04,2.24
2016-05-04,19,4.0,,0.04,0.76
2016-05-05,49,4.0,,0.04,1.96
2016-05-06,51,4.0,,0.04,2.04
2016-05-07,71,4.0,,0.04,2.84
2016-05-08,36,4.0,,0.04,1.44
2016-05-09,68,4.0,,0.04,2.72
2016-05-10,47,4.0,,0.04,1.8800000000000001
2016-05-11,67,4.0,,0.04,2.68
2016-05-12,40,4.0,,0.04,1.6
2016-05-13,71,4.0,,0.04,2.84
2016-05-14,60,4.0,,0.04,2.4
2016-05-15,60,4.0,,0.04,2.4
2016-05-16,39,4.0,,0.04,1.56
2016-05-17,38,4.0,,0.04,1.52
2016-05-18,39,4.0,,0.04,1.56
2016-05-19,39,4.0,,0.04,1.56
2016-05-20,51,4.0,,0.04,2.04
2016-05-21,85,4.0,,0.04,3.4
2016-05-22,35,4.0,,0.04,1.4000000000000001
2016-05-23,59,4.0,,0.04,2.36
2016-05-24,78,4.0,,0.04,3.12
2016-05-25,60,4.0,,0.04,2.4
2016-05-26,31,4.0,,0.04,1.24
2016-05-27,42,4.0,,0.04,1.68
2016-05-28,61,4.0,,0.04,2.44
2016-05-29,75,4.0,,0.04,3.0
2016-05-30,58,4.0,,0.04,2.32
2016-05-31,100,4.0,,0.04,4.0
2016-06-01,56,3.0,False,0.03,1.68
2016-06-02,44,3.0,,0.03,1.3199999999999998
2016-06-03,92,3.0,,0.03,2.76
2016-06-04,39,3.0,,0.03,1.17
2016-06-05,52,3.0,,0.03,1.56
2016-06-06,100,3.0,,0.03,3.0
2016-06-07,55,3.0,,0.03,1.65
2016-06-08,89,3.0,,0.03,2.67
2016-06-09,46,3.0,,0.03,1.38
2016-06-10,35,3.0,,0.03,1.05
2016-06-11,53,3.0,,0.03,1.5899999999999999
2016-06-12,67,3.0,,0.03,2.01
2016-06-13,45,3.0,,0.03,1.3499999999999999
2016-06-14,55,3.0,,0.03,1.65
2016-06-15,45,3.0,,0.03,1.3499999999999999
2016-06-16,91,3.0,,0.03,2.73
2016-06-17,58,3.0,,0.03,1.74
2016-06-18,69,3.0,,0.03,2.07
2016-06-19,14,3.0,,0.03,0.42
2016-06-20,80,3.0,,0.03,2.4
2016-06-21,34,3.0,,0.03,1.02
2016-06-22,34,3.0,,0.03,1.02
2016-06-23,34,3.0,,0.03,1.02
2016-06-24,58,3.0,,0.03,1.74
2016-06-25,41,3.0,,0.03,1.23
2016-06-26,55,3.0,,0.03,1.65
2016-06-27,67,3.0,,0.03,2.01
2016-06-28,45,3.0,,0.03,1.3499999999999999
2016-06-29,81,3.0,,0.03,2.4299999999999997
2016-06-30,23,3.0,,0.03,0.69
2016-07-01,20,4.0,False,0.04,0.8
2016-07-02,35,4.0,,0.04,1.4000000000000001
2016-07-03,72,4.0,,0.04,2.88
2016-07-04,35,4.0,,0.04,1.4000000000000001
2016-07-05,41,4.0,,0.04,1.6400000000000001
2016-07-06,59,4.0,,0.04,2.36
2016-07-07,49,4.0,,0.04,1.96
2016-07-08,60,4.0,,0.04,2.4
2016-07-09,34,4.0,,0.04,1.36
2016-07-10,57,4.0,,0.04,2.2800000000000002
2016-07-11,39,4.0,,0.04,1.56
2016-07-12,39,4.0,,0.04,1.56
2016-07-13,20,4.0,,0.04,0.8
2016-07-14,57,4.0,,0.04,2.2800000000000002
2016-07-15,30,4.0,,0.04,1.2
2016-07-16,57,4.0,,0.04,2.2800000000000002
