,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,ON_unscaled,ON_monthly,isPartial,scale,ON,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-03,8,0.006188067444876783,2.753737214791503,ON,9.609999656677246,9.640000343322754,9.40999984741211,9.489999771118164,9.489999771118164,2958700,87,86.0,,0.86,74.82,,
1,2016-05-10,1,0.0016485084306095978,-0.733598826241878,ON,9.170000076293944,9.390000343322754,9.06999969482422,9.380000114440918,9.380000114440918,4005200,87,86.0,,0.86,74.82,-0.25,-0.0259336090348965
2,2016-05-12,0,0.001,-0.3933910306845003,ON,9.420000076293944,9.479999542236328,8.850000381469727,8.970000267028809,8.970000267028809,4928000,85,86.0,,0.86,73.1,0.08999919891357422,0.00958457887358577
3,2016-05-18,27,0.018509727626459145,17.509727626459146,ON,8.899999618530273,9.3100004196167,8.899999618530273,9.210000038146973,9.210000038146973,4639000,85,86.0,,0.86,73.1,-0.1699991226196289,-0.01793239776671196
4,2016-05-20,1,0.0016485084306095978,-0.9109382664144069,ON,9.109999656677246,9.25,9.050000190734863,9.1899995803833,9.1899995803833,3302000,84,86.0,,0.86,72.24,-0.06000041961669922,-0.006444727917549242
5,2016-05-26,1,0.0016485084306095978,0.0,ON,9.520000457763672,9.670000076293944,9.399999618530272,9.510000228881836,9.510000228881836,2386800,84,86.0,,0.86,72.24,0.42000007629394354,0.04540541365339923
6,2016-05-27,1,0.0016485084306095978,0.0,ON,9.510000228881836,9.68000030517578,9.510000228881836,9.65999984741211,9.65999984741211,2498600,88,86.0,,0.86,75.67999999999999,0.010000228881835938,0.0010341498245023395
7,2016-06-03,1,0.0016485084306095978,0.0,ON,9.899999618530272,9.899999618530272,9.670000076293944,9.710000038146973,9.710000038146973,2263500,91,86.0,,0.86,78.26,0.2199993133544922,0.022727201076311987
8,2016-06-08,1,0.0016485084306095978,0.0,ON,10.06999969482422,10.130000114440918,9.970000267028809,10.020000457763672,10.020000457763672,1899000,92,86.0,,0.86,79.12,0.2300004959106463,0.023232374219504415
9,2016-06-09,1,0.0016485084306095978,0.0,ON,9.93000030517578,10.029999732971191,9.880000114440918,10.020000457763672,10.020000457763672,4451900,92,86.0,,0.86,79.12,-0.10000038146972656,-0.009871705857847912
10,2016-06-17,1,0.0016485084306095978,0.0,ON,9.470000267028809,9.489999771118164,9.270000457763672,9.449999809265137,9.449999809265137,6063400,90,86.0,,0.86,77.4,-0.5399999618530273,-0.05383848217641607
11,2016-06-20,1,0.0016485084306095978,-0.44033465433729635,ON,9.609999656677246,9.890000343322754,9.529999732971191,9.779999732971191,9.779999732971191,5590900,94,86.0,,0.86,80.84,0.40000057220458984,0.04214969250283329
